Track,Album Name,Artist,Release Date,ISRC,All Time Rank,Track Score,Spotify Streams,Spotify Playlist Count,Spotify Playlist Reach,Spotify Popularity,YouTube Views,YouTube Likes,TikTok Posts,TikTok Likes,TikTok Views,YouTube Playlist Reach,Apple Music Playlist Count,AirPlay Spins,SiriusXM Spins,Deezer Playlist Count,Deezer Playlist Reach,Amazon Playlist Count,Pandora Streams,Pandora Track Stations,Shazam Counts,Explicit Track,Release Year,Total_Popularity_Score,Cross_Platform_Count,Release_Year,Artist_Song_Count,YouTube_Engagement_Rate,TikTok_Engagement_Rate
MILLION DOLLAR BABY,Million Dollar Baby - Single,Tommy Richman,4/26/2024,QM24S2402528,1,107.8,390470940.0,30716.0,196631588.0,92.0,84274750.0,1713126.0,5767700.0,651565900.0,5332281936.0,150597040.0,210.0,40975.0,684.0,62.0,17598718.0,114.0,18004655.0,22931.0,2669262.0,0,2024,0.04137321,2,2024.0,2,0.02032788,112.96804
Not Like Us,Not Like Us,Kendrick Lamar,5/4/2024,USUG12400910,2,107.8,323703870.0,28113.0,174597137.0,92.0,116347040.0,3486739.0,674700.0,35223548.0,208339025.0,156380351.0,188.0,40778.0,3.0,67.0,10422430.0,111.0,7780028.0,28444.0,1118279.0,1,2024,0.02807798,2,2024.0,18,0.029968446,52.206158
i like the way you kiss me,I like the way you kiss me,Artemas,3/19/2024,QZJ842400387,3,107.8,601309300.0,54331.0,211607669.0,92.0,122599120.0,2228730.0,3025400.0,275154240.0,3369120610.0,373784955.0,190.0,74333.0,536.0,136.0,36321847.0,172.0,5022621.0,5639.0,5285340.0,0,2024,0.053225614,2,2024.0,2,0.018179014,90.94802
Flowers,Flowers - Single,Miley Cyrus,1/12/2023,USSM12209777,4,107.8,2031280600.0,269802.0,136569078.0,85.0,1096100900.0,10629796.0,7189811.0,1078758000.0,14603725994.0,3351188582.0,394.0,1474799.0,2182.0,264.0,24684248.0,210.0,190260277.0,203384.0,11822942.0,0,2023,0.19584733,3,2023.0,13,0.0096978275,150.0398
Houdini,Houdini,Eminem,5/31/2024,USUG12403398,5,107.8,107034920.0,7223.0,151469874.0,88.0,77373960.0,3670188.0,16400.0,26534406.0,265917250.0,112763851.0,182.0,12185.0,1.0,82.0,17660624.0,105.0,4493884.0,7006.0,457017.0,1,2024,0.010289965,0,2024.0,15,0.047434423,1617.853
Lovin On Me,Lovin On Me,Jack Harlow,11/10/2023,USAT22311371,6,107.8,670665400.0,105892.0,175421034.0,83.0,131148090.0,1392593.0,4202367.0,214943490.0,2938686633.0,2867222632.0,138.0,522042.0,4654.0,86.0,17167254.0,152.0,138529362.0,50982.0,4517131.0,1,2023,0.05794492,2,2023.0,8,0.010618485,51.148182
Beautiful Things,Beautiful Things,Benson Boone,1/18/2024,USWB12307016,7,107.8,900158700.0,73118.0,201585714.0,86.0,308723140.0,4120760.0,182200.0,29584940.0,534915313.0,4601579812.0,280.0,383478.0,429.0,168.0,48197850.0,154.0,65447476.0,57372.0,9990302.0,0,2024,0.07680635,2,2024.0,5,0.013347755,162.37529
Gata Only,Gata Only,FloyyMenor,2/2/2024,QZL382406049,8,107.8,675079200.0,40094.0,211236940.0,92.0,228382560.0,1439495.0,3500000.0,338546660.0,3804584163.0,2112581620.0,160.0,17221.0,30.0,87.0,33245595.0,53.0,3372428.0,5762.0,6063523.0,1,2024,0.062029377,3,2024.0,5,0.006303003,96.72759
Danza Kuduro - Cover,ýýýýýýýýýýýýýýýýýýýýý - ýýýýýýýýýýýýýýýýýý -,MUSIC LAB JPN,6/9/2024,TCJPA2463708,9,107.8,1653018100.0,1.0,15.0,67.0,148269620.0,1257935.0,182200.0,26534406.0,265917250.0,98142716.0,28.0,5953.5,86.0,15.0,237120.5,17.0,12735768.5,7832.0,854584.0,1,2024,0.13210015,1,2024.0,14,0.008484112,145.63261
BAND4BAND (feat. Lil Baby),BAND4BAND (feat. Lil Baby),Central Cee,5/23/2024,USSM12404354,10,107.8,90676580.0,10400.0,184199419.0,86.0,32735244.0,988682.0,325800.0,121574500.0,974656200.0,174706874.0,191.0,3823.0,117.0,78.0,10800098.0,92.0,1005626.0,842.0,666302.0,1,2024,0.00945437,1,2024.0,9,0.030202402,373.1557
